Model Year;Mfr Name;Division;Carline;Eng Displ;# Cyl;City FE (Guide) - Conventional Fuel;Hwy FE (Guide) - Conventional Fuel;Comb FE (Guide) - Conventional Fuel;City Unadj FE - Conventional Fuel;Hwy Unadj FE - Conventional Fuel;Comb Unadj FE - Conventional Fuel;City Unrd Adj FE - Conventional Fuel;Hwy Unrd Adj FE - Conventional Fuel;Comb Unrd Adj FE - Conventional Fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Honda;Acura;NSX;3,5;6;21;22;21;28,7;30,2;29,3561;21;21,7131;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;FCA US LLC;ALFA ROMEO;4C;1,8;4;24;34;28;28,7;45,7;34,4702;24,2492;34,3275;27,9406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;aston martin;Aston Martin Lagonda Ltd;Vantage V8;4,0;8;18;24;20;22,5379;34,2945;26,6489;17,9972;24,4274;20,4155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;R8;5,2;10;13;20;16;16,0159;26,8762;19,5755;13,469;20,4562;15,9153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;R8 Spyder;5,2;10;13;20;16;16,0159;26,8762;19,5755;13,469;20,4562;15,9153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;TT Roadster quattro;2,0;4;23;31;26;28,3069;42,4085;33,2879;22,9796;30,9611;25,9952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;BMW;BMW;Z4 M40i;3,0;6;24;31;26;30,5;43,9;35,3565;23,7377;30,6012;26,4025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;BMW;BMW;Z4 sDrive30i;2,0;4;24;32;27;31,4402;45,9272;36,6413;24,3964;31,8706;27,2748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Bugatti;Chiron;8,0;16;9;14;11;10,4;18,2;12,885;8,7889;14,1373;10,5921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;General Motors;Chevrolet;CORVETTE;6,2;8;15;27;19;18;35,8;23,1882;15,2293;26,9135;18,9269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Ferrari;Ferrari North America, Inc.;488 Pista;3,9;8;15;20;17;18,5498;27,2503;21,6621;15,008;19,7205;16,8163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Ferrari;Ferrari North America, Inc.;488 Pista Spider;3,9;8;15;19;17;18,3689;26,7487;21,3834;14,8706;19,3852;16,6115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
